Restaurant,Location,Gener,Price,Google Map
新記手工煎餃,後街,點心/小吃,2,https://maps.app.goo.gl/9M4pBUbj4RCetCwZ7
何佳佳蔥油餅,後街,點心/小吃,2,https://maps.app.goo.gl/hxVf4DMTvEWopfA19
宜香自助餐,後街,自助餐,3,https://maps.app.goo.gl/aZVP1TUijPMtz1dZ6
台灣第一家鹽酥雞,後街,點心/小吃,2,https://maps.app.goo.gl/wg9xmdQZ71tcd8Uw5
仁聚牛肉麵,後街,麵類,3,https://maps.app.goo.gl/NDbzVz19mudTWTVK8
阿寶炒麵,後街,麵類,2,https://maps.app.goo.gl/dhU3Ex1usdURi62X8
開源社(鹽酥雞),後街,點心/小吃,2,https://maps.app.goo.gl/q9tJCC8bMXhS2a6h7
龍涎鹹酥雞,後街,點心/小吃,2,https://maps.app.goo.gl/zBdST7tCYcJsoMEo6
豪記無骨油雞 醉雞 ,後街,點心/小吃,3,https://maps.app.goo.gl/A4mh61Kc617JccCz6
飛飛鹹酥雞,後街,點心/小吃,2,https://maps.app.goo.gl/LLzrzyRkzEQBEnqV8
中興炸雞,後街,點心/小吃,2,https://maps.app.goo.gl/AJaawhzWzjY2iBkQ7
金正好吃,後街,點心/小吃,2,https://maps.app.goo.gl/x84C8tX7BMjdJXRN8
高雄吳記排骨酥,後街,點心/小吃,3,https://maps.app.goo.gl/jM8q16zqUUhsEBBdA
好食雞飯麵館,後街,飯類,2,https://maps.app.goo.gl/jkfZPohfXaqBEaNt5
好食雞飯麵館,後街,麵類,2,https://maps.app.goo.gl/jkfZPohfXaqBEaNt5
京饌廣東粥,後街,粥類,2,https://maps.app.goo.gl/gVX6cVoc1rmbN8oi8
小叮噹牛排,後街,牛排,3,https://maps.app.goo.gl/yB1y37TDms3EuBZ28
金定火雞肉飯,後街,飯類,2,https://maps.app.goo.gl/3RfYbXqgeFByKncw6
